SimNb	NameFtFile	NameLandscapePatchFile	NamePatchDefFile	NameNestSuitabilityFile	NameForageSuitabilityFile	Nrep	t_max	ymax	xmax	nb_LU	TZ_width	TZ_percentage	size_order	dispersal_tries	scaling	weather_std	p_dist_arable	p_dist_grass	p_dist_urban	p_dist_forest	p_dist_bare
61	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.15	descending	100	20	0.15	1	0.88	0.77	0.33	0.77
62	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.15	descending	100	20	0.15	1	1	0.875	0.375	0.875
63	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.15	descending	100	20	0.15	1	0.9	0.85	0.65	0.85
64	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.15	descending	100	20	0.15	1	0.7	0.55	0	0.55
65	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.15	1	0.8	0.7	0.3	0.7
66	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	ascending	100	20	0.15	1	0.8	0.7	0.3	0.7
67	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	75	20	0.15	1	0.8	0.7	0.3	0.7
68	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	90	20	0.15	1	0.8	0.7	0.3	0.7
69	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	110	20	0.15	1	0.8	0.7	0.3	0.7
70	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	125	20	0.15	1	0.8	0.7	0.3	0.7
71	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.1125	1	0.8	0.7	0.3	0.7
72	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.135	1	0.8	0.7	0.3	0.7
73	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.165	1	0.8	0.7	0.3	0.7
74	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.1875	1	0.8	0.7	0.3	0.7
75	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.15	0.75	0.6	0.525	0.225	0.525
76	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.15	0.9	0.72	0.63	0.27	0.63
77	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.15	1	0.88	0.77	0.33	0.77
78	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.15	1	1	0.875	0.375	0.875
79	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.15	1	0.9	0.85	0.65	0.85
80	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.2	descending	100	20	0.15	1	0.7	0.55	0	0.55
81	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.25	descending	100	20	0.15	1	0.8	0.7	0.3	0.7
82	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.25	ascending	100	20	0.15	1	0.8	0.7	0.3	0.7
83	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.25	descending	75	20	0.15	1	0.8	0.7	0.3	0.7
84	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.25	descending	90	20	0.15	1	0.8	0.7	0.3	0.7
