SimNb	NameFtFile	NameLandscapePatchFile	NamePatchDefFile	NameNestSuitabilityFile	NameForageSuitabilityFile	Nrep	t_max	ymax	xmax	nb_LU	TZ_width	TZ_percentage	size_order	dispersal_tries	scaling	weather_std	p_dist_arable	p_dist_grass	p_dist_urban	p_dist_forest	p_dist_bare
20	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	90	20	0.15	1	0.8	0.7	0.3	0.7
21	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	110	20	0.15	1	0.8	0.7	0.3	0.7
22	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	125	20	0.15	1	0.8	0.7	0.3	0.7
23	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	100	20	0.1125	1	0.8	0.7	0.3	0.7
24	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	100	20	0.135	1	0.8	0.7	0.3	0.7
25	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	100	20	0.165	1	0.8	0.7	0.3	0.7
26	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	100	20	0.1875	1	0.8	0.7	0.3	0.7
27	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	100	20	0.15	0.75	0.6	0.525	0.225	0.525
28	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	100	20	0.15	0.9	0.72	0.63	0.27	0.63
29	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	100	20	0.15	1	0.88	0.77	0.33	0.77
30	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	100	20	0.15	1	1	0.875	0.375	0.875
31	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	100	20	0.15	1	0.9	0.85	0.65	0.85
32	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.05	descending	100	20	0.15	1	0.7	0.55	0	0.55
33	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.15	1	0.8	0.7	0.3	0.7
34	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	ascending	100	20	0.15	1	0.8	0.7	0.3	0.7
35	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	75	20	0.15	1	0.8	0.7	0.3	0.7
36	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	90	20	0.15	1	0.8	0.7	0.3	0.7
37	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	110	20	0.15	1	0.8	0.7	0.3	0.7
38	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	125	20	0.15	1	0.8	0.7	0.3	0.7
39	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.1125	1	0.8	0.7	0.3	0.7
40	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.135	1	0.8	0.7	0.3	0.7
41	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.165	1	0.8	0.7	0.3	0.7
42	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.1875	1	0.8	0.7	0.3	0.7
43	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.15	0.75	0.6	0.525	0.225	0.525
44	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.15	0.9	0.72	0.63	0.27	0.63
45	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.15	1	0.88	0.77	0.33	0.77
46	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.15	1	1	0.875	0.375	0.875
47	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.15	1	0.9	0.85	0.65	0.85
48	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.1	descending	100	20	0.15	1	0.7	0.55	0	0.55
49	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.15	descending	100	20	0.15	1	0.8	0.7	0.3	0.7
50	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0.15	ascending	100	20	0.15	1	0.8	0.7	0.3	0.7
