Year	FT_ID	LU_ID	Popsize
0	1	0	0
0	1	1	2348
0	1	2	3312
0	1	3	1447
0	1	4	178
0	1	5	0
0	10	0	16
0	10	1	996
0	10	2	753
0	10	3	1199
0	10	4	15
0	10	5	0
0	11	0	176
0	11	1	4409
0	11	2	1336
0	11	3	2082
0	11	4	53
0	11	5	0
0	12	0	0
0	12	1	3020
0	12	2	4081
0	12	3	1924
0	12	4	113
0	12	5	0
0	13	0	140
0	13	1	5053
0	13	2	1371
0	13	3	3100
0	13	4	24
0	13	5	0
0	14	0	139
0	14	1	5352
0	14	2	1333
0	14	3	2655
0	14	4	39
0	14	5	0
0	15	0	104
0	15	1	5383
0	15	2	1213
0	15	3	2560
0	15	4	41
0	15	5	0
0	2	0	0
0	2	1	2309
0	2	2	3071
0	2	3	1185
0	2	4	233
0	2	5	0
0	3	0	31
0	3	1	971
0	3	2	741
0	3	3	1024
0	3	4	13
0	3	5	0
0	4	0	25
0	4	1	960
0	4	2	778
0	4	3	828
0	4	4	7
0	4	5	0
0	5	0	137
0	5	1	3595
0	5	2	1400
0	5	3	1627
0	5	4	63
0	5	5	0
0	6	0	0
0	6	1	2681
0	6	2	4160
0	6	3	1670
0	6	4	243
0	6	5	0
0	7	0	0
0	7	1	446
0	7	2	2028
0	7	3	975
0	7	4	24
0	7	5	0
0	8	0	169
0	8	1	4570
0	8	2	1442
0	8	3	2586
0	8	4	62
0	8	5	0
0	9	0	196
0	9	1	4746
0	9	2	1382
0	9	3	2570
0	9	4	84
0	9	5	0
1	1	0	0
1	1	1	3115
1	1	2	7125
1	1	3	2379
1	1	4	381
1	1	5	0
1	10	0	19
1	10	1	921
1	10	2	640
1	10	3	2301
1	10	4	4
1	10	5	0
1	11	0	484
1	11	1	8210
1	11	2	1625
1	11	3	4740
1	11	4	76
1	11	5	0
1	12	0	0
1	12	1	4578
1	12	2	9882
1	12	3	4027
1	12	4	238
1	12	5	0
1	13	0	412
1	13	1	10687
1	13	2	1655
1	13	3	8555
1	13	4	33
1	13	5	0
1	14	0	397
1	14	1	11238
1	14	2	1604
1	14	3	7005
1	14	4	51
1	14	5	0
1	15	0	262
1	15	1	11214
1	15	2	1427
1	15	3	6839
1	15	4	52
1	15	5	0
1	2	0	0
1	2	1	2911
1	2	2	5910
1	2	3	1843
1	2	4	486
1	2	5	0
1	3	0	27
1	3	1	739
1	3	2	561
1	3	3	1459
1	3	4	2
1	3	5	0
1	4	0	30
1	4	1	772
1	4	2	570
1	4	3	1063
1	4	4	1
1	4	5	0
1	5	0	339
1	5	1	5746
1	5	2	1587
1	5	3	3100
1	5	4	76
1	5	5	0
1	6	0	0
1	6	1	3763
1	6	2	10048
1	6	3	3010
1	6	4	595
1	6	5	0
1	7	0	0
1	7	1	232
1	7	2	3008
1	7	3	1371
1	7	4	18
1	7	5	0
1	8	0	479
1	8	1	8833
1	8	2	1787
