Year	FT_ID	LU_ID	Popsize
0	1	0	0
0	1	1	2517
0	1	2	3386
0	1	3	1649
0	1	4	165
0	1	5	0
0	10	0	26
0	10	1	1716
0	10	2	813
0	10	3	1021
0	10	4	10
0	10	5	0
0	11	0	201
0	11	1	3659
0	11	2	1394
0	11	3	1844
0	11	4	62
0	11	5	0
0	12	0	0
0	12	1	2826
0	12	2	4485
0	12	3	2022
0	12	4	153
0	12	5	0
0	13	0	130
0	13	1	4622
0	13	2	1438
0	13	3	2184
0	13	4	41
0	13	5	0
0	14	0	128
0	14	1	4049
0	14	2	1345
0	14	3	2430
0	14	4	25
0	14	5	0
0	15	0	152
0	15	1	4323
0	15	2	1248
0	15	3	2352
0	15	4	49
0	15	5	0
0	2	0	0
0	2	1	2553
0	2	2	2908
0	2	3	1315
0	2	4	110
0	2	5	0
0	3	0	46
0	3	1	1598
0	3	2	759
0	3	3	791
0	3	4	19
0	3	5	0
0	4	0	35
0	4	1	1615
0	4	2	646
0	4	3	800
0	4	4	6
0	4	5	0
0	5	0	118
0	5	1	2760
0	5	2	1408
0	5	3	1206
0	5	4	46
0	5	5	0
0	6	0	0
0	6	1	2674
0	6	2	4356
0	6	3	1611
0	6	4	170
0	6	5	0
0	7	0	0
0	7	1	982
0	7	2	2233
0	7	3	1226
0	7	4	41
0	7	5	0
0	8	0	105
0	8	1	3867
0	8	2	1432
0	8	3	2004
0	8	4	33
0	8	5	0
0	9	0	93
0	9	1	3701
0	9	2	1384
0	9	3	2455
0	9	4	43
0	9	5	0
1	1	0	0
1	1	1	3037
1	1	2	7406
1	1	3	2594
1	1	4	363
1	1	5	0
1	10	0	31
1	10	1	2729
1	10	2	673
1	10	3	1679
1	10	4	3
1	10	5	0
1	11	0	387
1	11	1	5675
1	11	2	1597
1	11	3	3508
1	11	4	46
1	11	5	0
1	12	0	0
1	12	1	4036
1	12	2	10673
1	12	3	3804
1	12	4	297
1	12	5	0
1	13	0	290
1	13	1	7407
1	13	2	1681
1	13	3	4512
1	13	4	47
1	13	5	0
1	14	0	292
1	14	1	7032
1	14	2	1462
1	14	3	5075
1	14	4	18
1	14	5	0
1	15	0	328
1	15	1	6815
1	15	2	1384
1	15	3	4687
1	15	4	38
1	15	5	0
1	2	0	0
1	2	1	2972
1	2	2	5555
1	2	3	1953
1	2	4	227
1	2	5	0
1	3	0	58
1	3	1	2442
1	3	2	574
1	3	3	984
1	3	4	7
1	3	5	0
1	4	0	26
1	4	1	2341
1	4	2	448
1	4	3	848
1	4	4	0
1	4	5	0
1	5	0	243
1	5	1	3842
1	5	2	1542
1	5	3	1931
1	5	4	48
1	5	5	0
1	6	0	0
1	6	1	3473
1	6	2	10135
1	6	3	2837
