Year	FT_ID	LU_ID	Popsize
0	1	0	0
0	1	1	2013
0	1	2	3041
0	1	3	1156
0	1	4	171
0	1	5	0
0	10	0	21
0	10	1	862
0	10	2	569
0	10	3	1134
0	10	4	6
0	10	5	0
0	11	0	98
0	11	1	2756
0	11	2	1202
0	11	3	1478
0	11	4	45
0	11	5	0
0	12	0	0
0	12	1	2585
0	12	2	3793
0	12	3	1608
0	12	4	151
0	12	5	0
0	13	0	99
0	13	1	3336
0	13	2	1157
0	13	3	2040
0	13	4	34
0	13	5	0
0	14	0	68
0	14	1	3079
0	14	2	1073
0	14	3	2099
0	14	4	29
0	14	5	0
0	15	0	137
0	15	1	3596
0	15	2	1029
0	15	3	1872
0	15	4	47
0	15	5	0
0	2	0	0
0	2	1	1855
0	2	2	2931
0	2	3	1109
0	2	4	127
0	2	5	0
0	3	0	10
0	3	1	961
0	3	2	728
0	3	3	593
0	3	4	2
0	3	5	0
0	4	0	14
0	4	1	771
0	4	2	627
0	4	3	575
0	4	4	5
0	4	5	0
0	5	0	86
0	5	1	1965
0	5	2	1187
0	5	3	1138
0	5	4	69
0	5	5	0
0	6	0	0
0	6	1	2184
0	6	2	3497
0	6	3	1496
0	6	4	166
0	6	5	0
0	7	0	0
0	7	1	516
0	7	2	1771
0	7	3	985
0	7	4	31
0	7	5	0
0	8	0	111
0	8	1	2641
0	8	2	1296
0	8	3	1776
0	8	4	64
0	8	5	0
0	9	0	132
0	9	1	2762
0	9	2	1291
0	9	3	1860
0	9	4	61
0	9	5	0
1	1	0	0
1	1	1	2052
1	1	2	5147
1	1	3	1563
1	1	4	295
1	1	5	0
1	10	0	21
1	10	1	888
1	10	2	380
1	10	3	1401
1	10	4	0
1	10	5	0
1	11	0	173
1	11	1	3096
1	11	2	1155
1	11	3	2232
1	11	4	32
1	11	5	0
1	12	0	0
1	12	1	2940
1	12	2	7499
1	12	3	2704
1	12	4	190
1	12	5	0
1	13	0	206
1	13	1	4314
1	13	2	1159
1	13	3	3941
1	13	4	28
1	13	5	0
1	14	0	142
1	14	1	3815
1	14	2	1022
1	14	3	3757
1	14	4	23
1	14	5	0
1	15	0	280
1	15	1	4079
1	15	2	956
1	15	3	3403
1	15	4	33
1	15	5	0
1	2	0	0
1	2	1	1852
1	2	2	4383
1	2	3	1312
1	2	4	198
1	2	5	0
1	3	0	3
1	3	1	1008
1	3	2	423
1	3	3	551
1	3	4	1
1	3	5	0
1	4	0	10
1	4	1	743
1	4	2	337
1	4	3	453
1	4	4	0
1	4	5	0
1	5	0	98
1	5	1	1895
1	5	2	1092
1	5	3	1520
1	5	4	45
1	5	5	0
1	6	0	0
1	6	1	2329
1	6	2	6716
1	6	3	2110
1	6	4	304
1	6	5	0
1	7	0	0
1	7	1	372
1	7	2	2093
1	7	3	1170
1	7	4	10
1	7	5	0
1	8	0	238
1	8	1	3009
1	8	2	1296
1	8	3	3158
1	8	4	43
1	8	5	0
1	9	0	297
1	9	1	2983
1	9	2	1294
1	9	3	3121
1	9	4	51
1	9	5	0
2	1	0	0
2	1	1	1885
2	1	2	7037
2	1	3	1685
2	1	4	352
2	1	5	0
2	10	0	22
2	10	1	988
2	10	2	213
2	10	3	1458
2	10	4	0
2	10	5	0
2	11	0	279
2	11	1	3006
2	11	2	1054
2	11	3	2799
2	11	4	20
2	11	5	0
2	12	0	0
2	12	1	3110
2	12	2	11640
2	12	3	3678
2	12	4	184
2	12	5	0
2	13	0	316
2	13	1	4821
2	13	2	1021
2	13	3	5794
2	13	4	13
2	13	5	0
2	14	0	211
2	14	1	3919
2	14	2	979
2	14	3	5181
2	14	4	14
2	14	5	0
2	15	0	380
2	15	1	4263
2	15	2	923
2	15	3	4556
2	15	4	20
2	15	5	0
2	2	0	0
2	2	1	1648
2	2	2	5562
2	2	3	1326
2	2	4	247
2	2	5	0
2	3	0	4
2	3	1	1068
2	3	2	213
2	3	3	523
2	3	4	0
2	3	5	0
2	4	0	13
2	4	1	844
2	4	2	152
2	4	3	371
2	4	4	1
2	4	5	0
2	5	0	98
2	5	1	1692
2	5	2	895
2	5	3	1618
2	5	4	22
2	5	5	0
2	6	0	0
2	6	1	2236
2	6	2	10156
2	6	3	2606
2	6	4	445
2	6	5	0
2	7	0	0
2	7	1	308
2	7	2	2296
2	7	3	1188
2	7	4	6
2	7	5	0
2	8	0	341
2	8	1	2920
2	8	2	1187
2	8	3	3718
2	8	4	19
2	8	5	0
2	9	0	422
2	9	1	3096
2	9	2	1202
2	9	3	3889
2	9	4	42
2	9	5	0
3	1	0	0
3	1	1	1959
3	1	2	10042
3	1	3	1983
3	1	4	466
3	1	5	0
3	10	0	29
3	10	1	1180
3	10	2	202
3	10	3	1512
3	10	4	0
3	10	5	0
3	11	0	336
3	11	1	3481
3	11	2	1077
3	11	3	3618
3	11	4	17
3	11	5	0
3	12	0	0
3	12	1	3836
3	12	2	19373
3	12	3	5767
3	12	4	283
3	12	5	0
3	13	0	484
3	13	1	6409
3	13	2	1077
3	13	3	9231
3	13	4	14
3	13	5	0
3	14	0	131
3	14	1	5040
3	14	2	1029
3	14	3	7435
3	14	4	15
3	14	5	0
3	15	0	504
3	15	1	5584
3	15	2	985
3	15	3	7024
3	15	4	9
3	15	5	0
3	2	0	0
3	2	1	1568
3	2	2	7001
3	2	3	1463
3	2	4	268
3	2	5	0
3	3	0	5
3	3	1	1223
3	3	2	187
3	3	3	459
3	3	4	1
3	3	5	0
3	4	0	6
3	4	1	998
3	4	2	110
3	4	3	365
3	4	4	0
3	4	5	0
3	5	0	98
3	5	1	1738
3	5	2	831
3	5	3	1488
3	5	4	27
3	5	5	0
3	6	0	0
3	6	1	2584
3	6	2	16158
3	6	3	3484
3	6	4	581
3	6	5	0
3	7	0	0
3	7	1	309
3	7	2	2713
3	7	3	1308
3	7	4	7
3	7	5	0
3	8	0	438
3	8	1	3590
3	8	2	1240
3	8	3	5058
3	8	4	18
3	8	5	0
3	9	0	497
3	9	1	3753
3	9	2	1242
3	9	3	4984
3	9	4	35
3	9	5	0
4	1	0	0
4	1	1	2491
4	1	2	17507
4	1	3	2890
4	1	4	822
4	1	5	0
4	10	0	43
4	10	1	1643
4	10	2	230
4	10	3	2124
4	10	4	0
4	10	5	0
4	11	0	612
4	11	1	5092
4	11	2	1337
4	11	3	5889
4	11	4	23
4	11	5	0
4	12	0	0
4	12	1	5645
4	12	2	39435
4	12	3	11025
4	12	4	490
4	12	5	0
4	13	0	946
4	13	1	10130
4	13	2	1555
4	13	3	17338
4	13	4	15
4	13	5	0
4	14	0	250
4	14	1	8039
4	14	2	1300
4	14	3	14122
4	14	4	26
4	14	5	0
4	15	0	694
4	15	1	9033
4	15	2	1280
4	15	3	13033
4	15	4	12
4	15	5	0
4	2	0	0
4	2	1	1921
4	2	2	10848
4	2	3	2021
4	2	4	435
4	2	5	0
4	3	0	11
4	3	1	1676
4	3	2	207
4	3	3	496
4	3	4	2
4	3	5	0
4	4	0	9
4	4	1	1347
4	4	2	123
4	4	3	362
4	4	4	0
4	4	5	0
4	5	0	113
4	5	1	2296
4	5	2	910
4	5	3	1963
4	5	4	14
4	5	5	0
4	6	0	0
4	6	1	3849
4	6	2	31786
4	6	3	5756
4	6	4	1052
4	6	5	0
4	7	0	0
4	7	1	356
4	7	2	4122
4	7	3	1773
4	7	4	10
4	7	5	0
4	8	0	905
4	8	1	5496
4	8	2	1607
4	8	3	8709
4	8	4	17
4	8	5	0
4	9	0	899
4	9	1	5500
4	9	2	1638
4	9	3	7820
4	9	4	26
4	9	5	0
5	1	0	0
5	1	1	2383
5	1	2	21754
5	1	3	2912
5	1	4	987
5	1	5	0
5	10	0	32
5	10	1	1537
5	10	2	168
5	10	3	1961
5	10	4	0
5	10	5	0
5	11	0	759
5	11	1	5109
5	11	2	1099
5	11	3	6338
5	11	4	25
5	11	5	0
5	12	0	0
5	12	1	5899
5	12	2	54794
5	12	3	14261
5	12	4	500
5	12	5	0
5	13	0	1142
5	13	1	10558
5	13	2	1317
5	13	3	22198
5	13	4	16
5	13	5	0
5	14	0	312
5	14	1	8487
5	14	2	1054
5	14	3	17539
5	14	4	10
5	14	5	0
5	15	0	726
5	15	1	10087
5	15	2	1059
5	15	3	15940
5	15	4	16
5	15	5	0
5	2	0	0
5	2	1	1620
5	2	2	11688
5	2	3	1919
5	2	4	455
5	2	5	0
5	3	0	9
5	3	1	1564
5	3	2	123
5	3	3	369
5	3	4	0
5	3	5	0
5	4	0	12
5	4	1	1258
5	4	2	68
5	4	3	259
5	4	4	1
5	4	5	0
5	5	0	159
5	5	1	2267
5	5	2	709
5	5	3	1782
5	5	4	13
5	5	5	0
5	6	0	0
5	6	1	4052
5	6	2	43810
5	6	3	6460
5	6	4	1407
5	6	5	0
5	7	0	0
5	7	1	279
5	7	2	4386
5	7	3	1608
5	7	4	12
5	7	5	0
5	8	0	957
5	8	1	5792
5	8	2	1362
5	8	3	9741
5	8	4	22
5	8	5	0
5	9	0	1131
5	9	1	5770
5	9	2	1366
5	9	3	8751
5	9	4	21
5	9	5	0
6	1	0	0
6	1	1	2824
6	1	2	30320
6	1	3	3550
6	1	4	1226
6	1	5	0
6	10	0	16
6	10	1	1783
6	10	2	142
6	10	3	2382
6	10	4	2
6	10	5	0
6	11	0	996
6	11	1	6115
6	11	2	1053
6	11	3	7461
6	11	4	32
6	11	5	0
6	12	0	0
6	12	1	7802
6	12	2	85007
6	12	3	21340
6	12	4	701
6	12	5	0
6	13	0	1191
6	13	1	14019
6	13	2	1389
6	13	3	32320
6	13	4	21
6	13	5	0
6	14	0	408
6	14	1	10865
6	14	2	1097
6	14	3	23958
6	14	4	9
6	14	5	0
6	15	0	869
6	15	1	12737
6	15	2	1125
6	15	3	22253
6	15	4	13
6	15	5	0
6	2	0	0
6	2	1	1659
6	2	2	14205
6	2	3	2030
6	2	4	538
6	2	5	0
6	3	0	8
6	3	1	1748
6	3	2	111
6	3	3	336
6	3	4	1
6	3	5	0
6	4	0	13
6	4	1	1367
6	4	2	57
6	4	3	207
6	4	4	1
6	4	5	0
6	5	0	196
6	5	1	2603
6	5	2	648
6	5	3	1889
6	5	4	15
6	5	5	0
6	6	0	0
6	6	1	5331
6	6	2	66989
6	6	3	8722
6	6	4	2004
6	6	5	0
6	7	0	0
6	7	1	273
6	7	2	5372
6	7	3	1726
6	7	4	11
6	7	5	0
6	8	0	1224
6	8	1	7345
6	8	2	1370
6	8	3	12150
6	8	4	24
6	8	5	0
6	9	0	1593
6	9	1	7235
6	9	2	1343
6	9	3	11136
6	9	4	24
6	9	5	0
7	1	0	0
7	1	1	4113
7	1	2	49319
7	1	3	5167
7	1	4	1815
7	1	5	0
7	10	0	37
7	10	1	2384
7	10	2	156
7	10	3	2793
7	10	4	0
7	10	5	0
7	11	0	1355
7	11	1	8415
7	11	2	1138
7	11	3	10221
7	11	4	21
7	11	5	0
7	12	0	0
7	12	1	11372
7	12	2	149129
7	12	3	35262
7	12	4	1133
7	12	5	0
7	13	0	1939
7	13	1	20838
7	13	2	1731
7	13	3	52682
7	13	4	25
7	13	5	0
7	14	0	565
7	14	1	15902
7	14	2	1389
7	14	3	37488
7	14	4	19
7	14	5	0
7	15	0	1383
7	15	1	18389
7	15	2	1399
7	15	3	35560
7	15	4	21
7	15	5	0
7	2	0	0
7	2	1	2167
7	2	2	20510
7	2	3	2594
7	2	4	673
7	2	5	0
7	3	0	13
7	3	1	2281
7	3	2	123
7	3	3	338
7	3	4	3
7	3	5	0
7	4	0	11
7	4	1	1743
7	4	2	73
7	4	3	173
7	4	4	0
7	4	5	0
7	5	0	302
7	5	1	3569
7	5	2	685
7	5	3	2365
7	5	4	18
7	5	5	0
7	6	0	0
7	6	1	8505
7	6	2	117190
7	6	3	13761
7	6	4	3228
7	6	5	0
7	7	0	0
7	7	1	297
7	7	2	7695
7	7	3	2008
7	7	4	19
7	7	5	0
7	8	0	1712
7	8	1	10718
7	8	2	1609
7	8	3	17149
7	8	4	23
7	8	5	0
7	9	0	1984
7	9	1	10356
7	9	2	1534
7	9	3	16120
7	9	4	28
7	9	5	0
8	1	0	0
8	1	1	4096
8	1	2	56816
8	1	3	4989
8	1	4	1765
8	1	5	0
8	10	0	33
8	10	1	2122
8	10	2	57
8	10	3	2265
8	10	4	0
8	10	5	0
8	11	0	1284
8	11	1	8173
8	11	2	726
8	11	3	9028
8	11	4	11
8	11	5	0
8	12	0	0
8	12	1	11705
8	12	2	171246
8	12	3	36137
8	12	4	1332
8	12	5	0
8	13	0	1873
8	13	1	20234
8	13	2	1276
8	13	3	54663
8	13	4	25
8	13	5	0
8	14	0	799
8	14	1	15311
8	14	2	922
8	14	3	38531
8	14	4	18
8	14	5	0
8	15	0	1422
8	15	1	17648
8	15	2	927
8	15	3	35871
8	15	4	21
8	15	5	0
8	2	0	0
8	2	1	1916
8	2	2	21558
8	2	3	2269
8	2	4	646
8	2	5	0
8	3	0	11
8	3	1	2008
8	3	2	62
8	3	3	207
8	3	4	1
8	3	5	0
8	4	0	8
8	4	1	1599
8	4	2	25
8	4	3	119
8	4	4	0
8	4	5	0
8	5	0	346
8	5	1	3335
8	5	2	467
8	5	3	2013
8	5	4	9
8	5	5	0
8	6	0	0
8	6	1	9098
8	6	2	139628
8	6	3	13831
8	6	4	3628
8	6	5	0
8	7	0	0
8	7	1	210
8	7	2	7200
8	7	3	1520
8	7	4	26
8	7	5	0
8	8	0	1720
8	8	1	10475
8	8	2	1127
