Year	FT_ID	LU_ID	Popsize
0	1	0	0
0	1	1	2307
0	1	2	2907
0	1	3	1358
0	1	4	164
0	1	5	0
0	10	0	72
0	10	1	1049
0	10	2	782
0	10	3	1115
0	10	4	14
0	10	5	0
0	11	0	131
0	11	1	4231
0	11	2	1128
0	11	3	1901
0	11	4	66
0	11	5	0
0	12	0	0
0	12	1	2526
0	12	2	3822
0	12	3	1992
0	12	4	193
0	12	5	0
0	13	0	127
0	13	1	5107
0	13	2	1045
0	13	3	3061
0	13	4	58
0	13	5	0
0	14	0	111
0	14	1	4737
0	14	2	1116
0	14	3	2505
0	14	4	39
0	14	5	0
0	15	0	118
0	15	1	4863
0	15	2	1083
0	15	3	2251
0	15	4	60
0	15	5	0
0	2	0	0
0	2	1	2235
0	2	2	2435
0	2	3	1218
0	2	4	118
0	2	5	0
0	3	0	36
0	3	1	1209
0	3	2	628
0	3	3	1115
0	3	4	15
0	3	5	0
0	4	0	54
0	4	1	1118
0	4	2	654
0	4	3	734
0	4	4	9
0	4	5	0
0	5	0	122
0	5	1	3279
0	5	2	1261
0	5	3	1459
0	5	4	39
0	5	5	0
0	6	0	0
0	6	1	2485
0	6	2	3240
0	6	3	1382
0	6	4	267
0	6	5	0
0	7	0	0
0	7	1	572
0	7	2	1750
0	7	3	838
0	7	4	28
0	7	5	0
0	8	0	192
0	8	1	4202
0	8	2	1259
0	8	3	2007
0	8	4	61
0	8	5	0
0	9	0	161
0	9	1	4493
0	9	2	1219
0	9	3	1700
0	9	4	67
0	9	5	0
1	1	0	0
1	1	1	2713
1	1	2	5317
1	1	3	1960
1	1	4	326
1	1	5	0
1	10	0	95
1	10	1	1121
1	10	2	549
1	10	3	1740
1	10	4	2
1	10	5	0
1	11	0	326
1	11	1	6750
1	11	2	1183
1	11	3	3749
1	11	4	88
1	11	5	0
1	12	0	0
1	12	1	3353
1	12	2	7864
1	12	3	3546
1	12	4	323
1	12	5	0
1	13	0	363
1	13	1	9550
1	13	2	1166
1	13	3	7308
1	13	4	51
1	13	5	0
1	14	0	241
1	14	1	8591
1	14	2	1247
1	14	3	5720
1	14	4	34
1	14	5	0
1	15	0	263
1	15	1	8642
1	15	2	1142
1	15	3	5125
1	15	4	52
1	15	5	0
1	2	0	0
1	2	1	2507
1	2	2	3852
1	2	3	1654
1	2	4	220
1	2	5	0
1	3	0	28
1	3	1	1206
1	3	2	405
1	3	3	1430
1	3	4	4
1	3	5	0
1	4	0	44
1	4	1	1110
1	4	2	379
1	4	3	790
1	4	4	2
1	4	5	0
1	5	0	267
1	5	1	4743
1	5	2	1211
1	5	3	2305
1	5	4	47
1	5	5	0
1	6	0	0
1	6	1	3114
1	6	2	6436
1	6	3	2167
1	6	4	550
1	6	5	0
1	7	0	0
1	7	1	463
1	7	2	2161
1	7	3	1079
1	7	4	23
1	7	5	0
1	8	0	425
1	8	1	7048
1	8	2	1353
1	8	3	4094
1	8	4	71
1	8	5	0
1	9	0	390
1	9	1	7314
1	9	2	1307
1	9	3	3780
1	9	4	72
1	9	5	0
2	1	0	0
2	1	1	3041
2	1	2	8605
2	1	3	2538
2	1	4	551
2	1	5	0
2	10	0	134
2	10	1	1290
2	10	2	421
2	10	3	2422
2	10	4	0
2	10	5	0
2	11	0	567
2	11	1	9787
2	11	2	1327
2	11	3	6324
2	11	4	99
2	11	5	0
2	12	0	0
2	12	1	4203
2	12	2	13746
2	12	3	5630
2	12	4	502
2	12	5	0
2	13	0	843
2	13	1	16287
2	13	2	1315
2	13	3	13587
2	13	4	64
2	13	5	0
2	14	0	526
2	14	1	14190
2	14	2	1303
2	14	3	10554
2	14	4	39
2	14	5	0
2	15	0	507
2	15	1	14760
2	15	2	1182
2	15	3	9551
2	15	4	55
2	15	5	0
2	2	0	0
2	2	1	2685
2	2	2	5599
2	2	3	2018
2	2	4	327
2	2	5	0
2	3	0	36
2	3	1	1364
2	3	2	276
2	3	3	1665
2	3	4	3
2	3	5	0
2	4	0	50
2	4	1	1300
2	4	2	201
2	4	3	852
2	4	4	0
2	4	5	0
2	5	0	478
2	5	1	6182
2	5	2	1173
2	5	3	3304
2	5	4	54
2	5	5	0
2	6	0	0
2	6	1	3681
2	6	2	11166
2	6	3	2997
2	6	4	938
2	6	5	0
2	7	0	0
2	7	1	431
2	7	2	2621
2	7	3	1285
2	7	4	25
2	7	5	0
2	8	0	718
2	8	1	10426
2	8	2	1510
2	8	3	7025
2	8	4	93
2	8	5	0
2	9	0	759
2	9	1	11255
2	9	2	1501
2	9	3	6543
2	9	4	77
2	9	5	0
3	1	0	0
3	1	1	3416
3	1	2	12644
3	1	3	3070
3	1	4	849
3	1	5	0
3	10	0	162
3	10	1	1441
3	10	2	383
3	10	3	3140
3	10	4	0
3	10	5	0
3	11	0	1000
3	11	1	13962
3	11	2	1437
3	11	3	10093
3	11	4	116
3	11	5	0
3	12	0	0
3	12	1	5124
3	12	2	22891
3	12	3	8710
3	12	4	752
3	12	5	0
3	13	0	1741
3	13	1	27807
3	13	2	1485
3	13	3	26333
3	13	4	68
3	13	5	0
