Year	FT_ID	LU_ID	Popsize
0	1	0	0
0	1	1	2171
0	1	2	2832
0	1	3	1027
0	1	4	104
0	1	5	0
0	10	0	26
0	10	1	1893
0	10	2	633
0	10	3	921
0	10	4	3
0	10	5	0
0	11	0	105
0	11	1	3141
0	11	2	1058
0	11	3	1312
0	11	4	83
0	11	5	0
0	12	0	0
0	12	1	2232
0	12	2	3594
0	12	3	1532
0	12	4	131
0	12	5	0
0	13	0	86
0	13	1	3948
0	13	2	993
0	13	3	2010
0	13	4	26
0	13	5	0
0	14	0	108
0	14	1	3353
0	14	2	1038
0	14	3	1873
0	14	4	30
0	14	5	0
0	15	0	78
0	15	1	3405
0	15	2	944
0	15	3	1788
0	15	4	52
0	15	5	0
0	2	0	0
0	2	1	2026
0	2	2	2297
0	2	3	844
0	2	4	143
0	2	5	0
0	3	0	32
0	3	1	1487
0	3	2	562
0	3	3	699
0	3	4	8
0	3	5	0
0	4	0	35
0	4	1	1467
0	4	2	518
0	4	3	679
0	4	4	0
0	4	5	0
0	5	0	70
0	5	1	2629
0	5	2	1133
0	5	3	895
0	5	4	61
0	5	5	0
0	6	0	0
0	6	1	2280
0	6	2	3230
0	6	3	1347
0	6	4	166
0	6	5	0
0	7	0	0
0	7	1	1043
0	7	2	1548
0	7	3	812
0	7	4	32
0	7	5	0
0	8	0	131
0	8	1	3457
0	8	2	1245
0	8	3	1358
0	8	4	40
0	8	5	0
0	9	0	89
0	9	1	3233
0	9	2	1112
0	9	3	1592
0	9	4	61
0	9	5	0
1	1	0	0
1	1	1	2404
1	1	2	4722
1	1	3	1398
1	1	4	197
1	1	5	0
1	10	0	39
1	10	1	2742
1	10	2	397
1	10	3	1164
1	10	4	1
1	10	5	0
1	11	0	160
1	11	1	4339
1	11	2	1038
1	11	3	1899
1	11	4	63
1	11	5	0
1	12	0	0
1	12	1	2777
1	12	2	6998
1	12	3	2378
1	12	4	206
1	12	5	0
1	13	0	191
1	13	1	6132
1	13	2	939
1	13	3	3748
1	13	4	17
1	13	5	0
1	14	0	102
1	14	1	4940
1	14	2	971
1	14	3	3404
1	14	4	11
1	14	5	0
1	15	0	184
1	15	1	5058
1	15	2	894
1	15	3	3211
1	15	4	31
1	15	5	0
1	2	0	0
1	2	1	2094
1	2	2	3297
1	2	3	1046
1	2	4	195
1	2	5	0
1	3	0	18
1	3	1	2040
1	3	2	319
1	3	3	584
1	3	4	2
1	3	5	0
1	4	0	27
1	4	1	1908
1	4	2	260
1	4	3	545
1	4	4	1
1	4	5	0
1	5	0	134
1	5	1	3300
1	5	2	1025
1	5	3	1011
1	5	4	41
1	5	5	0
1	6	0	0
1	6	1	2599
1	6	2	6123
1	6	3	2016
1	6	4	322
1	6	5	0
1	7	0	0
1	7	1	1030
1	7	2	1785
1	7	3	916
1	7	4	14
1	7	5	0
1	8	0	252
1	8	1	4787
1	8	2	1258
1	8	3	2388
1	8	4	33
1	8	5	0
1	9	0	199
1	9	1	4701
1	9	2	1106
1	9	3	2402
1	9	4	34
1	9	5	0
2	1	0	0
2	1	1	2826
2	1	2	8202
2	1	3	1964
2	1	4	269
2	1	5	0
2	10	0	66
2	10	1	4140
2	10	2	332
2	10	3	1529
2	10	4	1
2	10	5	0
2	11	0	275
2	11	1	6216
2	11	2	1170
2	11	3	2937
2	11	4	57
2	11	5	0
2	12	0	0
2	12	1	3550
2	12	2	13292
2	12	3	4002
2	12	4	283
2	12	5	0
2	13	0	342
2	13	1	9725
2	13	2	1087
2	13	3	6819
2	13	4	25
2	13	5	0
2	14	0	196
2	14	1	8127
2	14	2	1100
2	14	3	5525
2	14	4	15
2	14	5	0
2	15	0	226
2	15	1	8216
2	15	2	1012
2	15	3	5340
2	15	4	35
2	15	5	0
2	2	0	0
2	2	1	2419
2	2	2	5219
2	2	3	1430
2	2	4	301
2	2	5	0
2	3	0	28
2	3	1	3030
2	3	2	226
2	3	3	646
2	3	4	1
2	3	5	0
2	4	0	33
2	4	1	2729
2	4	2	155
2	4	3	595
2	4	4	1
2	4	5	0
2	5	0	167
2	5	1	4400
2	5	2	1036
2	5	3	1403
2	5	4	32
2	5	5	0
2	6	0	0
2	6	1	3181
2	6	2	11768
2	6	3	2973
2	6	4	560
2	6	5	0
2	7	0	0
2	7	1	1201
2	7	2	2449
2	7	3	1126
2	7	4	5
2	7	5	0
2	8	0	376
2	8	1	7116
2	8	2	1457
2	8	3	3741
2	8	4	26
2	8	5	0
2	9	0	425
2	9	1	6858
2	9	2	1262
2	9	3	3896
2	9	4	41
2	9	5	0
3	1	0	0
3	1	1	3319
3	1	2	13862
3	1	3	2634
3	1	4	506
3	1	5	0
3	10	0	88
3	10	1	5884
3	10	2	374
3	10	3	1961
3	10	4	2
3	10	5	0
3	11	0	488
3	11	1	9211
3	11	2	1365
3	11	3	4666
3	11	4	59
3	11	5	0
3	12	0	0
3	12	1	4990
3	12	2	24649
3	12	3	6949
3	12	4	483
3	12	5	0
3	13	0	660
3	13	1	17250
3	13	2	1344
3	13	3	12533
3	13	4	37
3	13	5	0
3	14	0	452
3	14	1	13613
3	14	2	1286
3	14	3	9566
3	14	4	5
3	14	5	0
3	15	0	268
3	15	1	14174
3	15	2	1205
3	15	3	8983
3	15	4	22
3	15	5	0
3	2	0	0
3	2	1	2721
3	2	2	8129
3	2	3	1918
3	2	4	477
3	2	5	0
3	3	0	58
3	3	1	4175
3	3	2	248
3	3	3	755
3	3	4	2
3	3	5	0
3	4	0	51
3	4	1	3614
3	4	2	160
3	4	3	600
3	4	4	0
3	4	5	0
3	5	0	297
3	5	1	5892
3	5	2	1107
3	5	3	1879
3	5	4	24
3	5	5	0
3	6	0	0
3	6	1	4058
3	6	2	21889
3	6	3	4478
3	6	4	831
3	6	5	0
3	7	0	0
3	7	1	1265
3	7	2	3449
3	7	3	1381
3	7	4	9
3	7	5	0
3	8	0	657
3	8	1	11423
3	8	2	1715
3	8	3	5978
3	8	4	21
3	8	5	0
3	9	0	756
3	9	1	10831
3	9	2	1504
3	9	3	6066
3	9	4	54
3	9	5	0
4	1	0	0
4	1	1	3012
4	1	2	16273
4	1	3	2608
