Year	FT_ID	LU_ID	Popsize
0	1	0	0
0	1	1	2317
0	1	2	3118
0	1	3	1329
0	1	4	125
0	1	5	0
0	10	0	17
0	10	1	693
0	10	2	770
0	10	3	1281
0	10	4	19
0	10	5	0
0	11	0	170
0	11	1	4079
0	11	2	1342
0	11	3	2109
0	11	4	87
0	11	5	0
0	12	0	0
0	12	1	2808
0	12	2	4010
0	12	3	1884
0	12	4	140
0	12	5	0
0	13	0	108
0	13	1	5396
0	13	2	1247
0	13	3	2781
0	13	4	54
0	13	5	0
0	14	0	122
0	14	1	4866
0	14	2	1327
0	14	3	2476
0	14	4	43
0	14	5	0
0	15	0	217
0	15	1	5011
0	15	2	1221
0	15	3	2539
0	15	4	58
0	15	5	0
0	2	0	0
0	2	1	2375
0	2	2	2623
0	2	3	1199
0	2	4	145
0	2	5	0
0	3	0	31
0	3	1	765
0	3	2	692
0	3	3	955
0	3	4	16
0	3	5	0
0	4	0	2
0	4	1	712
0	4	2	693
0	4	3	782
0	4	4	10
0	4	5	0
0	5	0	129
0	5	1	3485
0	5	2	1297
0	5	3	1628
0	5	4	100
0	5	5	0
0	6	0	0
0	6	1	2469
0	6	2	3764
0	6	3	1625
0	6	4	208
0	6	5	0
0	7	0	0
0	7	1	390
0	7	2	1833
0	7	3	1066
0	7	4	38
0	7	5	0
0	8	0	241
0	8	1	4440
0	8	2	1371
0	8	3	2259
0	8	4	69
0	8	5	0
0	9	0	166
0	9	1	4219
0	9	2	1283
0	9	3	2341
0	9	4	59
0	9	5	0
1	1	0	0
1	1	1	2432
1	1	2	5296
1	1	3	1848
1	1	4	246
1	1	5	0
1	10	0	15
1	10	1	264
1	10	2	515
1	10	3	1930
1	10	4	4
1	10	5	0
1	11	0	370
1	11	1	6101
1	11	2	1302
1	11	3	3888
1	11	4	83
1	11	5	0
1	12	0	0
1	12	1	3468
1	12	2	7666
1	12	3	3200
1	12	4	217
1	12	5	0
1	13	0	255
1	13	1	9180
1	13	2	1184
1	13	3	6074
1	13	4	52
1	13	5	0
1	14	0	285
1	14	1	8051
1	14	2	1236
1	14	3	5174
1	14	4	46
1	14	5	0
1	15	0	423
1	15	1	8244
1	15	2	1142
1	15	3	5114
1	15	4	45
1	15	5	0
1	2	0	0
1	2	1	2453
1	2	2	3986
1	2	3	1545
1	2	4	263
1	2	5	0
1	3	0	25
1	3	1	302
1	3	2	393
1	3	3	1116
1	3	4	3
1	3	5	0
1	4	0	0
1	4	1	231
1	4	2	349
1	4	3	746
1	4	4	0
1	4	5	0
1	5	0	244
1	5	1	4625
1	5	2	1221
1	5	3	2463
1	5	4	89
1	5	5	0
1	6	0	0
1	6	1	2919
1	6	2	7158
1	6	3	2444
1	6	4	410
1	6	5	0
1	7	0	0
1	7	1	103
1	7	2	2169
1	7	3	1252
1	7	4	24
1	7	5	0
1	8	0	509
1	8	1	6972
1	8	2	1382
1	8	3	4297
1	8	4	69
1	8	5	0
1	9	0	403
1	9	1	6611
1	9	2	1273
1	9	3	4459
1	9	4	64
1	9	5	0
2	1	0	0
2	1	1	2743
2	1	2	8646
2	1	3	2460
2	1	4	420
2	1	5	0
2	10	0	35
2	10	1	144
2	10	2	402
2	10	3	2752
2	10	4	1
2	10	5	0
2	11	0	759
2	11	1	8946
2	11	2	1404
2	11	3	6318
2	11	4	87
2	11	5	0
2	12	0	0
2	12	1	4367
2	12	2	13454
2	12	3	5335
2	12	4	365
2	12	5	0
2	13	0	484
2	13	1	16097
2	13	2	1319
2	13	3	12087
2	13	4	63
2	13	5	0
2	14	0	548
2	14	1	13594
2	14	2	1334
2	14	3	10068
2	14	4	51
2	14	5	0
2	15	0	798
2	15	1	13864
2	15	2	1238
2	15	3	9470
2	15	4	53
2	15	5	0
2	2	0	0
2	2	1	2699
2	2	2	5938
2	2	3	1939
2	2	4	426
2	2	5	0
2	3	0	22
2	3	1	165
2	3	2	241
2	3	3	1353
2	3	4	1
2	3	5	0
2	4	0	0
2	4	1	108
2	4	2	170
2	4	3	809
2	4	4	0
2	4	5	0
2	5	0	422
2	5	1	6040
2	5	2	1199
2	5	3	3700
2	5	4	97
2	5	5	0
2	6	0	0
2	6	1	3581
2	6	2	12409
2	6	3	3497
2	6	4	703
2	6	5	0
2	7	0	0
2	7	1	47
2	7	2	2765
2	7	3	1511
2	7	4	21
2	7	5	0
2	8	0	919
2	8	1	10469
2	8	2	1570
2	8	3	7512
2	8	4	85
2	8	5	0
2	9	0	826
2	9	1	10293
2	9	2	1433
2	9	3	7667
2	9	4	67
2	9	5	0
3	1	0	0
3	1	1	3340
3	1	2	14001
3	1	3	3301
3	1	4	697
3	1	5	0
3	10	0	67
3	10	1	126
3	10	2	421
3	10	3	3875
3	10	4	1
3	10	5	0
3	11	0	1450
3	11	1	14274
3	11	2	1638
3	11	3	10466
3	11	4	104
3	11	5	0
3	12	0	0
3	12	1	5793
3	12	2	24572
3	12	3	9386
3	12	4	671
3	12	5	0
3	13	0	1000
3	13	1	29416
3	13	2	1598
3	13	3	26142
3	13	4	88
3	13	5	0
3	14	0	1022
3	14	1	24069
3	14	2	1536
3	14	3	20692
3	14	4	51
3	14	5	0
3	15	0	1454
3	15	1	24965
3	15	2	1433
3	15	3	19021
3	15	4	68
3	15	5	0
3	2	0	0
3	2	1	3103
3	2	2	8691
3	2	3	2467
3	2	4	668
3	2	5	0
3	3	0	26
3	3	1	119
3	3	2	237
3	3	3	1587
3	3	4	2
3	3	5	0
3	4	0	3
3	4	1	65
3	4	2	152
3	4	3	875
3	4	4	0
3	4	5	0
3	5	0	701
3	5	1	8110
3	5	2	1286
3	5	3	5390
3	5	4	116
3	5	5	0
3	6	0	0
3	6	1	4654
3	6	2	21965
3	6	3	5049
3	6	4	1216
3	6	5	0
3	7	0	0
3	7	1	40
3	7	2	3747
3	7	3	1858
3	7	4	21
3	7	5	0
3	8	0	1623
3	8	1	17190
