Year	FT_ID	LU_ID	Popsize
0	1	0	0
0	1	1	2518
0	1	2	3275
0	1	3	1323
0	1	4	171
0	1	5	0
0	10	0	22
0	10	1	1960
0	10	2	797
0	10	3	1152
0	10	4	13
0	10	5	0
0	11	0	182
0	11	1	3531
0	11	2	1301
0	11	3	1975
0	11	4	24
0	11	5	0
0	12	0	0
0	12	1	2831
0	12	2	4723
0	12	3	1996
0	12	4	144
0	12	5	0
0	13	0	91
0	13	1	4633
0	13	2	1416
0	13	3	2151
0	13	4	33
0	13	5	0
0	14	0	139
0	14	1	4208
0	14	2	1297
0	14	3	2229
0	14	4	34
0	14	5	0
0	15	0	70
0	15	1	4027
0	15	2	1387
0	15	3	2330
0	15	4	31
0	15	5	0
0	2	0	0
0	2	1	2181
0	2	2	3009
0	2	3	1303
0	2	4	123
0	2	5	0
0	3	0	22
0	3	1	2138
0	3	2	799
0	3	3	780
0	3	4	9
0	3	5	0
0	4	0	15
0	4	1	1754
0	4	2	715
0	4	3	623
0	4	4	8
0	4	5	0
0	5	0	110
0	5	1	2905
0	5	2	1392
0	5	3	1163
0	5	4	26
0	5	5	0
0	6	0	0
0	6	1	2690
0	6	2	3702
0	6	3	1655
0	6	4	177
0	6	5	0
0	7	0	0
0	7	1	1382
0	7	2	2044
0	7	3	984
0	7	4	27
0	7	5	0
0	8	0	119
0	8	1	3964
0	8	2	1361
0	8	3	1585
0	8	4	57
0	8	5	0
0	9	0	170
0	9	1	3774
0	9	2	1465
0	9	3	2214
0	9	4	52
0	9	5	0
1	1	0	0
1	1	1	2798
1	1	2	6224
1	1	3	1839
1	1	4	326
1	1	5	0
1	10	0	19
1	10	1	2910
1	10	2	566
1	10	3	1587
1	10	4	5
1	10	5	0
1	11	0	354
1	11	1	5365
1	11	2	1296
1	11	3	3106
1	11	4	28
1	11	5	0
1	12	0	0
1	12	1	3686
1	12	2	9967
1	12	3	3198
1	12	4	231
1	12	5	0
1	13	0	168
1	13	1	7461
1	13	2	1405
1	13	3	3970
1	13	4	15
1	13	5	0
1	14	0	241
1	14	1	6622
1	14	2	1265
1	14	3	4023
1	14	4	15
1	14	5	0
1	15	0	77
1	15	1	6098
1	15	2	1332
1	15	3	4617
1	15	4	21
1	15	5	0
1	2	0	0
1	2	1	2384
1	2	2	4817
1	2	3	1732
1	2	4	216
1	2	5	0
1	3	0	17
1	3	1	3186
1	3	2	537
1	3	3	839
1	3	4	4
1	3	5	0
1	4	0	9
1	4	1	2356
1	4	2	438
1	4	3	568
1	4	4	1
1	4	5	0
1	5	0	187
1	5	1	3768
1	5	2	1325
1	5	3	1519
1	5	4	10
1	5	5	0
1	6	0	0
1	6	1	3123
1	6	2	7807
1	6	3	2554
1	6	4	396
1	6	5	0
1	7	0	0
1	7	1	1485
1	7	2	2685
1	7	3	1132
1	7	4	21
1	7	5	0
1	8	0	281
1	8	1	5706
1	8	2	1403
1	8	3	2923
1	8	4	43
1	8	5	0
1	9	0	332
1	9	1	5766
1	9	2	1512
1	9	3	3868
1	9	4	42
1	9	5	0
2	1	0	0
2	1	1	2955
2	1	2	9634
2	1	3	2267
2	1	4	461
2	1	5	0
2	10	0	30
2	10	1	3823
2	10	2	388
2	10	3	1836
2	10	4	3
2	10	5	0
2	11	0	501
2	11	1	6968
2	11	2	1252
2	11	3	4250
2	11	4	28
2	11	5	0
2	12	0	0
2	12	1	4602
2	12	2	17145
2	12	3	4915
2	12	4	346
2	12	5	0
2	13	0	307
2	13	1	10912
2	13	2	1461
2	13	3	6257
2	13	4	18
2	13	5	0
2	14	0	348
2	14	1	9489
2	14	2	1190
2	14	3	6498
2	14	4	9
2	14	5	0
2	15	0	200
2	15	1	8667
2	15	2	1221
2	15	3	7261
2	15	4	17
2	15	5	0
2	2	0	0
2	2	1	2435
2	2	2	6802
2	2	3	2019
2	2	4	287
2	2	5	0
2	3	0	24
2	3	1	4048
2	3	2	348
2	3	3	959
2	3	4	3
2	3	5	0
2	4	0	11
2	4	1	2903
2	4	2	261
2	4	3	557
2	4	4	3
2	4	5	0
2	5	0	219
2	5	1	4547
2	5	2	1171
2	5	3	1866
2	5	4	12
2	5	5	0
2	6	0	0
2	6	1	3587
2	6	2	13604
2	6	3	3358
2	6	4	638
2	6	5	0
2	7	0	0
2	7	1	1536
2	7	2	3170
2	7	3	1245
2	7	4	14
2	7	5	0
2	8	0	520
2	8	1	7614
2	8	2	1376
2	8	3	4156
2	8	4	40
2	8	5	0
2	9	0	596
2	9	1	8101
2	9	2	1501
2	9	3	5390
2	9	4	36
2	9	5	0
3	1	0	0
3	1	1	3153
3	1	2	13819
3	1	3	2683
3	1	4	560
3	1	5	0
3	10	0	43
3	10	1	4800
3	10	2	305
3	10	3	1995
3	10	4	1
3	10	5	0
3	11	0	503
3	11	1	9390
3	11	2	1207
3	11	3	5375
3	11	4	21
3	11	5	0
3	12	0	0
3	12	1	5532
3	12	2	28400
3	12	3	7741
3	12	4	481
3	12	5	0
3	13	0	550
3	13	1	16658
3	13	2	1433
3	13	3	10429
3	13	4	17
3	13	5	0
3	14	0	524
3	14	1	14389
3	14	2	1210
3	14	3	10251
3	14	4	10
3	14	5	0
3	15	0	409
3	15	1	13062
3	15	2	1218
3	15	3	10998
3	15	4	17
3	15	5	0
3	2	0	0
3	2	1	2432
3	2	2	8734
3	2	3	2110
3	2	4	376
3	2	5	0
3	3	0	32
3	3	1	4888
3	3	2	246
3	3	3	880
3	3	4	2
3	3	5	0
3	4	0	22
3	4	1	3364
3	4	2	165
3	4	3	485
3	4	4	1
3	4	5	0
3	5	0	246
3	5	1	5429
3	5	2	1077
3	5	3	1954
3	5	4	15
3	5	5	0
3	6	0	0
3	6	1	4108
3	6	2	21807
3	6	3	4257
3	6	4	1066
3	6	5	0
3	7	0	0
3	7	1	1540
3	7	2	3634
3	7	3	1224
3	7	4	12
3	7	5	0
3	8	0	714
3	8	1	10408
3	8	2	1454
3	8	3	5667
3	8	4	38
3	8	5	0
3	9	0	834
3	9	1	11139
3	9	2	1610
3	9	3	8042
3	9	4	29
3	9	5	0
4	1	0	0
4	1	1	4312
4	1	2	25766
4	1	3	4299
4	1	4	1001
4	1	5	0
4	10	0	76
4	10	1	7680
4	10	2	384
4	10	3	3044
4	10	4	6
4	10	5	0
4	11	0	1060
4	11	1	16322
4	11	2	1596
4	11	3	9360
4	11	4	27
4	11	5	0
4	12	0	0
4	12	1	8525
4	12	2	61222
4	12	3	15443
4	12	4	997
4	12	5	0
4	13	0	1127
4	13	1	32304
4	13	2	2075
4	13	3	20524
4	13	4	20
4	13	5	0
4	14	0	1013
4	14	1	27473
4	14	2	1728
4	14	3	20217
4	14	4	21
4	14	5	0
4	15	0	1005
4	15	1	24660
4	15	2	1742
4	15	3	21699
4	15	4	27
4	15	5	0
4	2	0	0
4	2	1	3208
4	2	2	14713
4	2	3	3019
4	2	4	537
4	2	5	0
4	3	0	64
4	3	1	7539
4	3	2	286
4	3	3	1115
4	3	4	6
4	3	5	0
4	4	0	26
4	4	1	4978
4	4	2	192
4	4	3	650
4	4	4	3
4	4	5	0
4	5	0	360
4	5	1	8666
4	5	2	1290
4	5	3	2745
4	5	4	29
4	5	5	0
4	6	0	0
4	6	1	6073
4	6	2	45900
4	6	3	7273
4	6	4	2218
4	6	5	0
4	7	0	0
4	7	1	1819
4	7	2	5613
4	7	3	1719
4	7	4	25
4	7	5	0
4	8	0	1368
4	8	1	18304
4	8	2	2006
4	8	3	10291
4	8	4	35
4	8	5	0
4	9	0	1653
4	9	1	20077
4	9	2	2302
4	9	3	14793
4	9	4	46
