LID 	 PID 	 TYPE 	 AREA 	 AREA_CSD 	 AREA_LSD 	 PERIM 	 PERIM_CSD 	 PERIM_CPS 	 PERIM_LSD 	 GYRATE 	 PARA 	 SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	48	 water 	0.2	-0.7837	-0.1866	280	-0.7016	20	-0.2835	26.797	1400	1.5556
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	49	 water 	1.94	0.721	-0.139	700	0.5591	86.6667	-0.1639	59.2943	360.8247	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	50	 grassland 	0.93	-0.3149	-0.1666	540	-0.3173	59.375	-0.2095	42.0828	580.6452	1.35
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	51	 grassland 	0.09	-0.3851	-0.1896	200	-0.4232	31.25	-0.3063	22.2222	2222.2222	1.6667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	52	 grassland 	8.38	0.3075	0.0368	4580	0.9409	93.75	0.941	195.8673	546.5394	3.9483
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	53	 grassland 	6.84	0.1789	-0.0052	4440	0.8973	90.625	0.9011	243.7508	649.1228	4.1887
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	54	 water 	3.27	1.8711	-0.1027	1160	1.9398	93.3333	-0.0329	93.318	354.7401	1.5676
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	55	 water 	0.21	-0.775	-0.1863	220	-0.8817	6.6667	-0.3006	19.6463	1047.619	1.1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	56	 arable 	17.76	-0.3284	0.293	2600	-0.2758	66.6667	0.3771	177.4983	146.3964	1.5294
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	57	 grassland 	3.54	-0.0968	-0.0953	1280	-0.0868	78.125	0.0012	101.2233	361.5819	1.6842
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	58	 grassland 	0.03	-0.3901	-0.1912	80	-0.4605	6.25	-0.3405	6.6667	2666.6667	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	59	 bare 	0.57	0.3511	-0.1765	780	0.7121	84.6154	-0.1411	65.9453	1368.4211	2.4375
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	60	 grassland 	0.01	-0.3917	-0.1918	40	-0.473	0	-0.3519	5	4000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	61	 water 	1.9	0.6864	-0.1401	680	0.499	80	-0.1696	54.5973	357.8947	1.2143
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	62	 forest 	45.97	1.097	1.0635	11200	3.5998	97.1429	2.8262	375.7859	243.6372	4.1176
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	63	 forest 	0.65	-0.2215	-0.1743	400	-0.3211	45.7143	-0.2494	32.4267	615.3846	1.1765
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	64	 grassland 	0.4	-0.3592	-0.1811	400	-0.3609	46.875	-0.2494	32.6229	1000	1.5385
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	65	 bare 	0.02	-0.7152	-0.1915	60	-0.7121	15.3846	-0.3462	5	3000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	66	 bare 	0.06	-0.6377	-0.1904	140	-0.5539	34.6154	-0.3234	15	2333.3333	1.4
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	67	 grassland 	7.01	0.1931	-0.0006	2500	0.2931	84.375	0.3487	132.9922	356.6334	2.3585
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	68	 bare 	0.02	-0.7152	-0.1915	60	-0.7121	15.3846	-0.3462	5	3000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	69	 bare 	0.01	-0.7346	-0.1918	40	-0.7517	0	-0.3519	5	4000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	70	 bare 	0.08	-0.5989	-0.1898	160	-0.5143	38.4615	-0.3177	12.935	2000	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	71	 forest 	1.51	-0.1965	-0.1508	720	-0.2049	71.4286	-0.1582	51.2689	476.8212	1.44
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	72	 grassland 	0.12	-0.3826	-0.1888	240	-0.4107	37.5	-0.2949	19.6363	2000	1.7143
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	73	 grassland 	0.03	-0.3901	-0.1912	80	-0.4605	6.25	-0.3405	6.6667	2666.6667	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	74	 forest 	0.01	-0.2402	-0.1918	40	-0.4518	0	-0.3519	5	4000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	75	 water 	0.67	-0.3773	-0.1737	380	-0.4015	40	-0.2551	32.0289	567.1642	1.1176
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	76	 bare 	1.86	2.8522	-0.1412	2360	3.8376	100	0.3088	162.3918	1268.8172	4.2143
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	77	 forest 	0.44	-0.2276	-0.18	360	-0.3356	28.5714	-0.2607	27.1158	818.1818	1.2857
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	78	 forest 	0.68	-0.2207	-0.1735	420	-0.3138	51.4286	-0.2437	32.6325	617.6471	1.2353
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	79	 forest 	0.51	-0.2256	-0.1781	560	-0.263	62.8571	-0.2038	40.4026	1098.0392	1.8667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	80	 grassland 	0.05	-0.3884	-0.1907	120	-0.4481	12.5	-0.3291	9.9211	2400	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	81	 forest 	0.02	-0.2399	-0.1915	60	-0.4445	11.4286	-0.3462	5	3000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	82	 water 	0.5	-0.5243	-0.1784	380	-0.4015	40	-0.2551	29.0224	760	1.2667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	83	 forest 	0.21	-0.2343	-0.1863	240	-0.3792	20	-0.2949	18.6426	1142.8571	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	84	 bare 	0.07	-0.6183	-0.1901	160	-0.5143	38.4615	-0.3177	13.2865	2285.7143	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	85	 urban 	2.97	0.7832	-0.1109	1940	1.5278	87.5	0.1892	104.2874	653.1987	2.7714
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	86	 forest 	18.53	0.2987	0.314	4440	1.1456	94.2857	0.9011	208.7659	239.6114	2.5517
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	87	 bare 	1.35	1.8634	-0.1552	1120	1.3847	92.3077	-0.0443	71.648	829.6296	2.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	88	 bare 	0.04	-0.6764	-0.1909	100	-0.633	30.7692	-0.3348	8.0902	2500	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	89	 urban 	0.42	-0.7085	-0.1806	520	-0.3978	37.5	-0.2152	33.1493	1238.0952	2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	90	 bare 	0.02	-0.7152	-0.1915	60	-0.7121	15.3846	-0.3462	5	3000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	91	 grassland 	2.79	-0.1595	-0.1158	1600	0.0128	81.25	0.0924	83.7987	573.4767	2.3529
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	92	 bare 	0.11	-0.5407	-0.189	180	-0.4748	46.1538	-0.312	13.4756	1636.3636	1.2857
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	93	 water 	0.55	-0.481	-0.177	420	-0.2814	53.3333	-0.2437	38.8745	763.6364	1.4
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	94	 bare 	1.69	2.5226	-0.1459	880	0.9099	88.4615	-0.1127	58.0051	520.7101	1.6923
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	95	 forest 	0.47	-0.2268	-0.1792	360	-0.3356	28.5714	-0.2607	27.529	765.9574	1.2857
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	96	 grassland 	0.39	-0.36	-0.1814	420	-0.3546	50	-0.2437	28.5599	1076.9231	1.6154
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	97	 forest 	0.56	-0.2242	-0.1767	360	-0.3356	28.5714	-0.2607	31.0793	642.8571	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	98	 bare 	0.16	-0.4438	-0.1877	200	-0.4352	50	-0.3063	15.3193	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	99	 bare 	0.26	-0.2499	-0.1849	440	0.0396	69.2308	-0.238	28.0167	1692.3077	2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	100	 urban 	0.16	-0.8606	-0.1877	200	-0.8317	25	-0.3063	16.6996	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	101	 grassland 	0.25	-0.3717	-0.1852	340	-0.3796	43.75	-0.2664	23.9212	1360	1.7
